"","Mass.Feature","Replicate.Name","Adjusted.Area"
"1","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1Control_1",266018.870967742
"2","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1Control_2",239583.967741935
"3","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1Control_3",301884.387096774
"4","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1DMB_1",240229.451612903
"5","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1DMB_2",289775.483870968
"6","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1DMB_3",249893
"7","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1DMBnoBT_1",277510.35483871
"8","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1DMBnoBT_2",218812.483870968
"9","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1DSW_1",218098.709677419
"10","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1DSW_3",156285.677419355
"11","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1noBT_1",292626.838709677
"12","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1noBT_2",294132.032258064
"13","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1noBT_3",286261.806451613
"14","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1WBT_1",260637.967741935
"15","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1WBT_2",182323
"16","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1WBT_3",210906.709677419
"17","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1IT0_1",329854.419354839
"18","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1IT0_2",273026.580645161
"19","2-Hydroxy-4-(methylthio)butyric acid","171002_Smp_IL1IT0_3",250030.516129032
"20","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1Control5um_1",261153.419354839
"21","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1Control5um_2",220762.032258065
"22","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1Control5um_3",173662.290322581
"23","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DMB5um_1",157997.612903226
"24","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DMB5um_2",264098.322580645
"25","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DMB5um_3",335468.258064516
"26","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DMBnoBT5um_1",295984.290322581
"27","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DMBnoBT5um_2",284098.967741935
"28","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DMBnoBT5um_3",274902.225806452
"29","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DSW5um_1",278538.451612903
"30","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DSW5um_2",218372.806451613
"31","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1DSW5um_3",238517.516129032
"32","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1noBT5um_1",237477.258064516
"33","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1noBT5um_2",196250.483870968
"34","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1noBT5um_3",221915.483870968
"35","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1WBT5um_1",298840.322580645
"36","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1WBT5um_2",204488.35483871
"37","2-Hydroxy-4-(methylthio)butyric acid","171009_Smp_IL1WBT5um_3",186492.451612903
