"Mass.Feature","Replicate.Name","Adjusted.Area"
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1Control_1",266018.870967742
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1Control_2",239583.967741935
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1Control_3",301884.387096774
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1DMB_1",240229.451612903
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1DMB_2",289775.483870968
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1DMB_3",249893
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1DMBnoBT_1",277510.35483871
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1DMBnoBT_2",218812.483870968
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1DSW_1",218098.709677419
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1DSW_3",156285.677419355
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1noBT_1",292626.838709677
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1noBT_2",294132.032258064
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1noBT_3",286261.806451613
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1WBT_1",260637.967741935
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1WBT_2",182323
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1WBT_3",210906.709677419
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1IT0_1",329854.419354839
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1IT0_2",273026.580645161
"2-Hydroxy-4-(methylthio)butyric","171002_Smp_IL1IT0_3",250030.516129032
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1Control5um_1",261153.419354839
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1Control5um_2",220762.032258065
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1Control5um_3",173662.290322581
